0.1033	0.653739	1.59358
0.1127	0.576384	1.61356
0.124	0.412476	1.70144
0.1305	0.309211	1.78602
0.1378	0.212659	1.89726
0.1459	0.102459	2.01674
0.155	0	2.1218
0.1653	-0.168	2.2018
0.1771	-0.495216	2.3328
0.1907	-0.959136	2.62492
0.2066	-1.4465	3.3072
0.2138	-1.5789	3.674
0.2114	-1.6352	4.1064
0.2296	-1.53	4.5568
0.2384	-1.3356	4.968
0.248	-1.0075	5.2332
0.2583	-0.5832	5.2326
0.2695	-0.4785	5.0768
0.2818	-0.4695	4.8872
0.2952	-0.6732	4.6576
0.3099	-1.1628	4.6096
0.3263	-1.4805	4.8508
0.3444	-1.7808	4.8994
0.3646	-2.1896	4.953
0.3874	-3.4917	5.2156
0.4133	-3.4917	5.2156
0.4428	-4.2007	5.5224
0.4768	-4.9275	5.75
0.5166	-5.5056	5.824
0.539	-5.6265	5.3872
0.5635	-6.077724	4.2952
0.5904	-7.677076	2.63016
0.6199	-10.423616	1.76256
0.6525	-13.423104	1.57076
0.6702	-14.853375	1.6598
0.688	-16.357131	1.7253
0.7084	-17.931804	1.81472
0.7293	-19.575171	1.97578
0.8265	-27.6	2.7352
1.24	-71.384111	7.32636
1.265	-45.722384	6.72576
1.291	-47.631375	6.9892
1.319	-49.578375	7.2718
1.348	-51.708475	7.5705
1.378	-53.882304	7.88992
1.409	-56.401691	8.23782
1.442	-58.977519	8.6086
1.476	-61.767216	9.01472
1.512	-64.620204	9.44632
1.55	-67.860364	10.01112
1.589	-71.347771	10.62138
1.631	-75.094899	11.27962
1.675	-79.114816	11.98848
1.722	-83.419791	12.76904
1.771	-88.025371	13.60686
1.823	-93.136896	14.55872
1.878	-98.789376	15.59308
1.937	-105.425775	16.789
2	-111.6375	18.02
2.066	-120.2079	19.58
2.138	-126.819511	21.0858
2.214	-138.2796	23.128
2.296	-147.7791	25.132
2.384	-160.1019	27.686
2.48	-172.9175	30.36
2.583	-186.2016	33.428
2.695	-205.6959	37.152
2.818	-223.1231	41.1
2.952	-244.3291	46.158
3.1	-269.7219	52.47
3.263	-299.7671	60.204
3.444	-334.95	69.92
3.646	-379.7919	81.928
3.874	-427.2576	96.512
4.133	-486.1319	114.996
4.428	-553.1636	138.408
4.768	-634.1376	168.656
5.166	-741.7339	209.55
5.635	-880.2864	266.4
6.199	-1061.6471	345.18
6.888	-1278.8771	452.298
7.749	-1565.4144	617.396
8.265	-1741.3151	730.164
8.856	-1941.0804	869.528
9.537	-2139.61	1026
